B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM802932	0.232422285093506	0	0.11968461059652	0	0	0.154849882581746	0	0	0.0599913495638979	0	0.0262869191916158	0.00735141527818202	0.0947606076598008	0.0108304481923118	0.0436105034310882	0.10416313641909	0.0152985336267107	0	0.0574984846615874	0.0732518237039427	0	0	0.107	0.185161936570041	1.00110059859187
GSM802933	0.211607978149685	0	0.140685623320614	0.0392441169892532	0	0.0846735955925113	0	0	0.0784336161783868	0.033326488829809	0	0.0203550975386985	0.0768052564625444	0	0.032673634360489	0.108107747882727	0.033417346308908	0	0.0187451427329765	0.111823240721268	0.0101011149321295	0	0.275	0.112410279791586	1.02630692524992
GSM802934	0.288550992374281	0	0.193810986832498	0.0701342152252253	0	0.0511339520904609	0	0	0.0712909271126367	0	0.0389954791049165	0.0099663869599592	0.0575082259594729	0	0.0138998355147184	0.0895057154337645	0.00354878036210002	0	0.0430234317134957	0.0224877620456193	0.0446011066014875	0.00154220266936484	0.185	0.142009116092564	1.02034515600513
GSM802935	0.244481168308111	0	0	0	0	0.0803741667178215	0	0.0858598298422373	0	0.0147192364035412	0	0.022655292026531	0.0223582003575315	0.128923771368443	0.017848800188248	0.0739284331021201	0.0281918141200707	0.00726380601432241	0	0.216958036646515	0.0143856862173621	0.0420517586871463	0.147	0.162630511529524	1.0152225001879
GSM802936	0.28045455293297	0	0.148529122148094	0.0193190268601001	0	0.0329083632123906	0	0	0.13206604562821	0.0758114302281635	0	0	0.0116263456790984	0	0.0457953741173344	0.101512009869737	0.0138446450581398	0	0.0177420006288537	0.120391083636908	0	0	0.157	0.156201889289752	1.01672034063404
GSM802937	0.271923386867955	0	0.179162584567341	0	0.0467272700411507	0.0656029107429326	0	0	0.109212203225957	0	0	0.0220448767545352	0.0538887508220755	0.0311664653268174	0.0455088156458203	0.109270820780214	0.00169370064622021	0	0.0553492797667746	0.00844893481220605	0	0	0.136	0.171084057794913	1.00875990435873
GSM802938	0.23229880641884	0	0.153174706840501	0	0.0571091781970852	0.134627263046351	0	0	0.00584754242588274	0	0.0434299195406005	0.00211462847545676	0.0355455897611896	0.0366317965558204	0.0447928642306632	0.135262581717735	0	0	0.0681456622367691	0.0268421265282254	0.0241773340248811	0	0.105	0.187083060022865	0.997270828710033
GSM802939	0.304573753163584	0	0.141740248834096	0	0	0.0684222383932328	0	0	0.104019238221232	0.0029601927303634	0	0.0107753222523665	0.047572264815244	0.010614672896604	0.0881020246216295	0.0860682622704835	0	0.00996675772706936	0.0415628717037381	0.0737693724172474	0	0.0098527799531088	0.174	0.149976244703638	1.02068440118276
GSM802940	0.252220816530272	0	0.140694329626103	0	0	0.0654608200950548	0.0320036425196549	0	0.0727183456104701	0.0705097105021165	0	0.00277777822890524	0.00780560058675423	0.0674652503038482	0.0180830817496247	0.140768904044621	0	0.00336052944436135	0.0405349355606459	0.0798088489022396	0	0.00578740629532836	0.143	0.165087955670356	1.006128577982
GSM802941	0.2915354889042	0	0.110195678359645	0.0149684578392598	0	0.0905418537096001	0.00663412388152785	0	0.0951467309492824	0	0.00577019039868731	0.0212661779586469	0.0517184518719492	0.0448140862244988	0.0607803450489866	0.0671136060443069	0	0	0.0671279896188604	0.0198341142913437	0.0525527048992057	0	0.233	0.123280390365943	1.02881360816096
GSM802942	0.21584608845152	0	0.153878552698864	0.0475641810740359	0	0.134880867143085	0	0	0.0821462385897825	0	0	0.0154424882758114	0.0346545555667885	0.0207548013063141	0.0257129920658695	0.120900317230435	0.000705977197304938	0	0.076366707604973	0.0639140124247709	0	0.00723222037044457	0.145	0.163871467837561	1.00790586405394
GSM802943	0.258740964468977	0	0.119978338684851	0	0.00299571961497961	0.0307063213624952	0	0	0.0551692586776478	0.0282752123854211	0	0.0319755380950947	0.116556201881264	0.00608907595848946	0.0455889976761635	0.105321133571909	0.00193334513112496	0.0157794945290542	0	0.142202900760526	0.0386874972020027	0	0.0580000000000001	0.229602541508603	0.985855910133381
GSM802944	0.25579346592201	0	0.164815081344219	0	0.0460566182585431	0.131074355130369	0	0	0.0719472860456401	0.0770820126673392	0.00168716942242704	0.018032174542249	0.0242808236189145	0.0036180079288628	0.0419315813208131	0.0534303068669966	0.0113639574178514	0	0.0697091255839152	0.0291780339298508	0	0	0.174	0.149940863929152	1.02025391761532
GSM18442	0.217149800285809	0	0.10596357532837	0.0754383664687587	0	0.0834142339720166	0	0.0779721217719381	0.0558407135548488	0	0	0.0734185881709857	0.0759546041549787	0.0296211395701803	0.00732012220182858	0.141311584012003	0.00539122182013838	0	0.0497115244259543	0.0014924042621905	0	0	0.154	0.157646867706932	1.01859172290976
GSM18443	0.156857938105266	0	0.161249313911282	0	0	0.149281504531015	0.0114740283145423	0	0.102497547685158	0	0	0.0261715506334577	0.0171841629550611	0.0248797691828614	0.0785796010282311	0.0834340370592019	0.027694209911705	0	0.160696336682219	0	0	0	0.167	0.151365548391223	1.01019406748969
GSM18444	0.292756745497058	0	0.0888246749778631	0	0	0	0	0.011337703240675	0.217145248203288	0.0201332521118082	0	0.0439140786084298	0.0525762733931072	0	0.0103695883264605	0.0874890589462594	0.0308115269794893	0	0.0430317624418119	0.10161008727375	0	0	0.106	0.185943718185865	1.01252952846149
GSM18445	0.0826206889890559	0	0.167641532727134	0	0	0.203784212714449	0.0285629510828403	0	0	0.153073607633459	0	0	0	0	0.00937728281172312	0.127698944797956	0	0.00140599748244996	0.177914416711123	0	0	0.0479203650498096	0.082	0.201940099978778	0.995124913098964
GSM18446	0.128481619988996	0.058903089385383	0.191857736119259	0	0	0.134671268201804	0.0262374507183834	0	0.0635287030813105	0.0785436141050316	0	0	0	0	0.0114568116540447	0.152002727339744	0	0	0.122050392274514	0	0.0162101335191861	0.0160564536123436	0.378	0.0873626137350419	1.03179664919751
GSM18447	0.232531610611642	0	0.147086550830172	0.0359861145717807	0	0	0	0.0222233518006005	0.0565230424917782	0.00022687978211295	0	0.0103443847810231	0.185985070648478	0.0457682854237253	0.0679439667170551	0	0.00889572583569521	0	0	0.145212855630339	0.0412721608755979	0	0.0629999999999999	0.224398085008112	0.989189466420375
GSM18448	0.395978125836487	0	0.161969889508091	0.00816804453243989	0	0.0173272742290036	0	0.036997516157389	0.0417941115660865	0.0209201214595572	0	0.037019980299708	0.0261926665042221	0.0397944560932418	0.00655493432612342	0	0	0	0	0.159699571618425	0.0475833078692249	0	0.199	0.132615202513018	1.03659684864221
GSM18449	0.142261049450468	0	0.0749775222290402	0	0.0116176970405359	0.197265935876469	0	0	0.106426660925257	0	0.0563950472815772	0	0	0	0	0.196861951717292	0	0.0182120669793425	0.0247016663082564	0.120461927630985	0	0.0508184745607755	0.133	0.17260061832626	1.00869068146252
GSM18450	0	0.0908612093371282	0.116004113184408	0	0	0.227487983755106	0	0	0.0239158763843554	0.042481365140205	0	0.0455340442138954	0	0.0668158815182276	0.0211380660052493	0.262138442267028	0	0.0210904895766801	0.0825325286177168	0	0	0	0.128	0.175254229239734	1.00192842190573
GSM18451	0.218573772836814	0	0.0658748575147002	0	0.117149267575323	0.0849835457191434	0	0	0.0519565464585651	0	0.0612665076004357	0.00228255806255578	0	0	0	0.202282053449141	0	0.00778360108437487	0.162955082798683	0.00724735302487454	0	0.0176448538753882	0.112	0.181922072288237	1.00706948727571
GSM18452	0.171044940569742	0	0.208436381648352	0	0.103639561895928	0.140343746726816	0	0	0.0481177422587251	0.0450790522734455	0.00762706170076203	0.00459046133268709	0	0.0337257506391817	0	0.0989227043265254	0.0030349604261994	0.0128571812925727	0.0556054121368446	0.00442390674690194	0	0.0625511360253176	0.12	0.179120992252178	1.00181484934815
GSM25818	0.12886879500055	0	0.104339193503382	0.158560205959075	0	0.0692388250286386	0.00491458563020704	0	0.0599701809910103	0	0	0.0712228155784439	0	0.0478002083327003	0.00964001542335026	0.170571096817443	0.0288166338393789	0	0.14605744389582	0	0	0	0.365	0.090946964631728	1.03877396673818
GSM25819	0	0.0581750900869486	0.113314051841392	0	0	0.190458048111405	0.0223797599925985	0	0.066972909132431	0.0209094204045384	0	0.0211332925432445	0.00542645548673146	0.0738599929964513	0.0198350748303276	0.230028219659869	0.00384661306426184	0	0.164691169771594	0	0	0.00896990207820621	0.028	0.272051940682821	0.965712988710658
GSM25820	0.118191842910454	0	0.171351652860452	0	0	0.0845260582837701	0	0	0.093795466934086	0	0	0.0494516134144021	0	0	0.0475784989793703	0.189837624142631	0.0273910066828196	0	0.212296867422864	0.00413303313119627	0	0.00144633523795437	0.036	0.253810177579188	0.973209176849666
GSM25821	0.0518121940685924	0	0.142464234400687	0	0	0.0687420498439086	0.0290506174234574	0	0.0564133195680361	0.031677629533052	0	0.03585863455232	0	0.0273646721421884	0.0676223982500054	0.198047780324616	0.0703017214255421	0	0.206032926306042	0	0	0.0146118221615521	0.017	0.295478529646878	0.956498413132981
GSM25822	0	0.147168081288229	0.0544127770359413	0	0	0.143779716820729	0.00836321658179753	0	0	0.0772816431525411	0	0.0230089285675867	0	0.0347075944043724	0.000328446502814151	0.197818043950914	0	0.00205930273253622	0.280785556135236	0	0	0.0302866928273032	0.023	0.280267411624032	0.967387730401321
