Top 100 in network string_interactions_short.tsv ranked by Degree method
Rank,Name,Score
1,EP300,11.0
2,FOS,8.0
3,AKT1,5.0
4,DUSP1,4.0
4,NR3C1,4.0
4,ITGB2,4.0
7,ITGAM,3.0
7,STX17,3.0
7,EGR1,3.0
7,SIN3B,3.0
7,JAK2,3.0
12,CYBA,2.0
12,CYBB,2.0
12,MYO1C,2.0
12,HDAC5,2.0
12,NLRP3,2.0
12,BRCC3,2.0
12,LAPTM5,2.0
12,NPPA,2.0
12,F5,2.0
12,TYROBP,2.0
12,PER2,2.0
12,VCL,2.0
12,RPS23,2.0
12,SPAST,2.0
26,ABCB1,1.0
26,SLC1A7,1.0
26,ACE2,1.0
26,ADORA3,1.0
26,ADA,1.0
26,PRKAR2A,1.0
26,AKAP3,1.0
26,DOCK2,1.0
26,APAF1,1.0
26,CYP1A1,1.0
26,ARNT2,1.0
26,ATF3,1.0
26,BAZ1B,1.0
26,PYGO2,1.0
26,BCL9,1.0
26,BCOR,1.0
26,BRE,1.0
26,SCML2,1.0
26,CBX6,1.0
26,TNFRSF1B,1.0
26,CCR2,1.0
26,CD209,1.0
26,CD53,1.0
26,CD86,1.0
26,POLE4,1.0
26,CDC7,1.0
26,CEBPD,1.0
26,COL7A1,1.0
26,CORIN,1.0
26,CPT1A,1.0
26,IL10RA,1.0
26,CTSS,1.0
26,MAPK12,1.0
26,ZFP36,1.0
26,IFI35,1.0
26,EGR2,1.0
26,HSPA2,1.0
26,HSPA1L,1.0
26,JMY,1.0
26,MYB,1.0
26,KLF4,1.0
26,PROS1,1.0
26,MAFB,1.0
26,MUC20,1.0
26,GALNT12,1.0
26,HEXB,1.0
26,GLA,1.0
26,PYGB,1.0
26,GYS1,1.0
26,HCST,1.0
26,IFNAR2,1.0
26,IL13RA1,1.0
26,ITGA10,1.0
26,MPL,1.0
26,LY96,1.0
26,LY86,1.0
26,RAB8A,1.0
26,PYCARD,1.0
26,WWTR1,1.0
26,PER3,1.0
26,PHF12,1.0
26,RAP2B,1.0
26,PLCE1,1.0
26,PLEK,1.0
26,RCL1,1.0
26,RGS16,1.0
26,RGS10,1.0
26,RPL37,1.0
26,RTN1,1.0
26,TGIF1,1.0
26,UCHL1,1.0
26,SNCA,1.0
26,SORBS1,1.0
26,TUBAL3,1.0
26,VAMP8,1.0
